time,lat,long,depth,mag,ms
2007-01-01T00:49:58.900Z,58.2406666667,-155.1511666667,2.37,1,1167612598900
2007-01-01T01:44:28.840Z,54.6123333333,-163.5235,9.36,1.4,1167615868840
2007-01-01T02:49:06.820Z,54.61,-163.5163333333,9.56,2.1,1167619746820
2007-01-01T04:41:32.300Z,58.1751666667,-155.2788333333,1.68,0.3,1167626492300
2007-01-01T05:24:03.360Z,58.176,-155.3215,1.45,1.2,1167629043360
2007-01-01T06:01:52.980Z,54.5988333333,-163.483,8.12,1.7,1167631312980
2007-01-01T11:10:43.310Z,58.3636666667,-154.8746666667,1.99,0.5,1167649843310
2007-01-01T21:52:59.810Z,58.1786666667,-155.3508333333,-3,0.2,1167688379810
2007-01-01T22:39:36.100Z,58.235,-155.1203333333,1.16,0,1167691176100
2007-01-01T23:31:15.100Z,58.2418333333,-155.1335,-3,-0.3,1167694275100
2007-01-02T05:16:45.970Z,58.2375,-155.1386666667,1.23,0.5,1167715005970
2007-01-02T05:45:52.990Z,52.322,-174.1468333333,0.8,1.2,1167716752990
2007-01-02T05:46:18.790Z,54.6216666667,-163.535,9.33,1.8,1167716778790
2007-01-02T06:17:48.050Z,58.2316666667,-155.1608333333,-3,0.4,1167718668050
2007-01-02T06:31:26.800Z,61.2096666667,-152.2633333333,4.44,-0.2,1167719486800
2007-01-02T06:56:54.360Z,58.23,-155.1645,-2.46,0.5,1167721014360
2007-01-02T10:06:04.990Z,58.1633333333,-155.3193333333,1.9,0.9,1167732364990
2007-01-02T18:27:51.660Z,54.6446666667,-163.5331666667,14.79,2.1,1167762471660
2007-01-02T18:39:14.800Z,61.1795,-152.2676666667,6.2,-0.3,1167763154800
2007-01-03T03:03:12.670Z,61.2906666667,-152.239,2.64,-0.1,1167793392670
2007-01-03T05:05:07.820Z,51.9728333333,178.3641666667,4.96,1.8,1167800707820
2007-01-03T06:02:04.550Z,61.292,-152.3561666667,-3,-0.3,1167804124550
2007-01-03T06:35:11.120Z,58.9758333333,-153.6103333333,6.61,0.2,1167806111120
2007-01-03T06:39:29.760Z,58.3685,-154.8783333333,2,0.3,1167806369760
2007-01-03T09:13:19.090Z,61.1821666667,-152.232,5.22,0.2,1167815599090
2007-01-03T10:40:54.250Z,61.1995,-152.305,5.44,0.1,1167820854250
2007-01-03T19:49:27.860Z,59.3595,-153.4323333333,-0.55,0.1,1167853767860
2007-01-03T22:00:24.430Z,58.4761666667,-154.2985,8.95,1.2,1167861624430
2007-01-04T00:56:39.790Z,51.796,-178.436,15.09,1.9,1167872199790
2007-01-04T03:14:24.560Z,61.2188333333,-152.4875,5.21,0,1167880464560
2007-01-04T08:31:57.340Z,58.7681666667,-153.9748333333,5.13,1.1,1167899517340
2007-01-04T09:29:28.590Z,58.1833333333,-155.297,2.91,0.5,1167902968590
2007-01-04T10:07:06.240Z,58.3776666667,-154.7311666667,5.54,0.9,1167905226240
2007-01-04T12:39:38.660Z,61.9931666667,-144.1381666667,8.93,1.3,1167914378660
2007-01-04T13:47:55.680Z,61.319,-152.2521666667,3.85,0.3,1167918475680
2007-01-04T13:48:06.790Z,61.3178333333,-152.2511666667,-2.01,-0.7,1167918486790
2007-01-04T14:15:13.960Z,58.1895,-155.2828333333,1.38,0.2,1167920113960
2007-01-04T17:48:17.940Z,61.33,-152.2316666667,4.91,-0.2,1167932897940
2007-01-04T17:52:37.700Z,61.3095,-152.2405,3.65,-0.1,1167933157700
2007-01-04T22:34:30.670Z,58.7428333333,-153.6476666667,3.14,0.7,1167950070670
2007-01-04T22:34:39.720Z,58.7533333333,-153.6345,3.2,0.3,1167950079720
2007-01-04T22:38:16.490Z,58.7588333333,-153.6448333333,5.32,0.4,1167950296490
2007-01-04T22:41:17.800Z,58.8163333333,-153.515,1.9,0,1167950477800
2007-01-04T23:17:26.650Z,52.337,-174.1506666667,8.18,1.5,1167952646650
2007-01-04T23:17:29.220Z,52.3226666667,-174.1723333333,14.21,2,1167952649220
2007-01-04T23:25:23.880Z,52.3436666667,-174.1651666667,10.93,1.7,1167953123880
2007-01-04T23:36:34.600Z,52.3163333333,-174.1761666667,4.22,0.6,1167953794600
2007-01-04T23:39:27.230Z,52.3295,-174.1565,2.8,1.1,1167953967230
2007-01-05T00:02:04.350Z,52.3275,-174.1643333333,5.88,1.8,1167955324350
2007-01-05T00:02:48.530Z,52.33,-174.1608333333,4.26,1.4,1167955368530
2007-01-05T01:01:23.610Z,61.3345,-152.2235,-3,0.5,1167958883610
2007-01-05T01:37:25.110Z,61.305,-152.2386666667,-1.73,-0.1,1167961045110
2007-01-05T02:59:17.780Z,54.5983333333,-163.522,9.31,2.6,1167965957780
2007-01-05T03:50:14.480Z,58.3278333333,-154.877,8.97,1.1,1167969014480
2007-01-05T04:24:17.470Z,58.242,-155.1536666667,1.6,1,1167971057470
2007-01-05T04:48:05.890Z,54.6111666667,-163.4905,8.06,1.5,1167972485890
2007-01-05T04:53:11.370Z,52.3028333333,-174.2215,1.81,0.9,1167972791370
2007-01-05T05:15:31.920Z,54.622,-163.5356666667,8.91,1.9,1167974131920
2007-01-05T13:40:14.410Z,61.3093333333,-152.239,4.28,-0.1,1168004414410
2007-01-05T13:49:48.640Z,58.239,-155.1616666667,1.88,1,1168004988640
2007-01-05T14:07:17.970Z,58.423,-154.4523333333,4,1.3,1168006037970
2007-01-05T14:06:51.810Z,61.3165,-152.253,4,1.1,1168006011810
2007-01-05T14:18:26.840Z,61.3128333333,-152.2525,3.13,0.1,1168006706840
2007-01-05T14:25:01.590Z,61.3148333333,-152.2413333333,2.99,0.2,1168007101590
2007-01-05T14:27:59.310Z,61.3026666667,-152.2413333333,4.11,-0.3,1168007279310
2007-01-06T01:44:20.730Z,58.2621666667,-154.9066666667,2.72,0.8,1168047860730
2007-01-06T01:55:54.530Z,58.7923333333,-153.6325,3.29,0.2,1168048554530
2007-01-06T01:59:56.260Z,58.7866666667,-153.6425,3.06,0.6,1168048796260
2007-01-06T02:06:42.250Z,58.7961666667,-153.637,3.17,0.2,1168049202250
2007-01-06T02:29:35.630Z,58.7895,-153.6376666667,3.97,0.7,1168050575630
