year,month,day,hour,min,sec,lat,latDir,latMin,long,longDir,longMin,depth,mag,type,depth2
2007,1,1,0,49,5890,58,N,1444,155,W,907,237,10,a,237
2007,1,1,1,44,2884,54,N,3674,163,W,3141,936,14,a,936
2007,1,1,2,49,682,54,N,3660,163,W,3098,956,21,a,956
2007,1,1,4,41,3230,58,N,1051,155,W,1673,168,3,a,168
2007,1,1,5,24,336,58,N,1056,155,W,1929,145,12,a,145
2007,1,1,6,1,5298,54,N,3593,163,W,2898,812,17,a,812
2007,1,1,11,10,4331,58,N,2182,154,W,5248,199,5,a,199
2007,1,1,21,52,5981,58,N,1072,155,W,2105,0,2,a,-300
2007,1,1,22,39,3610,58,N,1410,155,W,722,116,0,a,116
2007,1,1,23,31,1510,58,N,1451,155,W,801,0,-3,a,-300
2007,1,2,5,16,4597,58,N,1425,155,W,832,123,5,a,123
2007,1,2,5,45,5299,52,N,1932,174,W,881,80,12,a,80
2007,1,2,5,46,1879,54,N,3730,163,W,3210,933,18,a,933
2007,1,2,6,17,4805,58,N,1390,155,W,965,0,4,a,-300
2007,1,2,6,31,2680,61,N,1258,152,W,1580,444,-2,a,444
2007,1,2,6,56,5436,58,N,1380,155,W,987,0,5,a,-246
2007,1,2,10,6,499,58,N,980,155,W,1916,190,9,a,190
2007,1,2,10,37,4823,61,N,2771,151,W,5507,556,1,E,556
2007,1,2,18,27,5166,54,N,3868,163,W,3199,1479,21,a,1479
2007,1,2,18,39,1480,61,N,1077,152,W,1606,620,-3,a,620
2007,1,3,3,3,1267,61,N,1744,152,W,1434,264,-1,a,264
2007,1,3,5,5,782,51,N,5837,178,E,2185,496,18,a,496
2007,1,3,6,2,455,61,N,1752,152,W,2137,0,-3,a,-300
2007,1,3,6,35,1112,58,N,5855,153,W,3662,661,2,a,661
2007,1,3,6,39,2976,58,N,2211,154,W,5270,200,3,a,200
2007,1,3,9,13,1909,61,N,1093,152,W,1392,522,2,a,522
2007,1,3,10,40,5425,61,N,1197,152,W,1830,544,1,a,544
2007,1,3,14,55,423,61,N,3034,151,W,5765,271,9,E,271
2007,1,3,19,49,2786,59,N,2157,153,W,2594,0,1,a,-55
2007,1,3,22,0,2443,58,N,2857,154,W,1791,895,12,a,895
2007,1,4,0,56,3979,51,N,4776,178,W,2616,1509,19,a,1509
2007,1,4,3,14,2456,61,N,1313,152,W,2925,521,0,a,521
2007,1,4,8,31,5734,58,N,4609,153,W,5849,513,11,a,513
2007,1,4,9,29,2859,58,N,1100,155,W,1782,291,5,a,291
2007,1,4,10,7,624,58,N,2266,154,W,4387,554,9,a,554
2007,1,4,12,39,3866,61,N,5959,144,W,829,893,13,b,893
2007,1,4,13,47,5568,61,N,1914,152,W,1513,385,3,a,385
2007,1,4,13,48,679,61,N,1907,152,W,1507,0,-7,a,-201
2007,1,4,14,15,1396,58,N,1137,155,W,1697,138,2,a,138
2007,1,4,17,48,1794,61,N,1980,152,W,1390,491,-2,b,491
2007,1,4,17,52,3770,61,N,1857,152,W,1443,365,-1,a,365
2007,1,4,22,34,3067,58,N,4457,153,W,3886,314,7,a,314
2007,1,4,22,34,3972,58,N,4520,153,W,3807,320,3,a,320
2007,1,4,22,38,1649,58,N,4553,153,W,3869,532,4,a,532
2007,1,4,22,41,1780,58,N,4898,153,W,3090,190,0,a,190
2007,1,4,23,17,2665,52,N,2022,174,W,904,818,15,a,818
2007,1,4,23,17,2922,52,N,1936,174,W,1034,1421,20,a,1421
2007,1,4,23,25,2388,52,N,2062,174,W,991,1093,17,a,1093
