year,month,day,hour,min,sec,lat,,latM,latMd,long,,longM,longMd,depth,mag
2008,1,1,6,10,277,53,N,35,55,167,W,4,72,1001,24
2008,1,1,21,58,2892,61,N,19,82,152,W,17,26,404,5
2008,1,2,2,42,5517,61,N,18,63,152,W,15,11,482,3
2008,1,2,6,19,5804,61,N,12,52,152,W,15,29,589,2
2008,1,2,6,36,292,58,N,26,44,154,W,48,58,307,8
2008,1,2,12,32,2117,61,N,28,40,151,W,55,83,999,10
2008,1,2,13,10,1006,58,N,10,20,154,W,42,93,799,11
2008,1,2,13,52,5132,58,N,26,1,154,W,48,44,313,7
2008,1,2,14,3,3127,58,N,25,86,154,W,47,83,401,6
2008,1,2,16,22,3878,59,N,11,78,153,W,15,59,1014,9
2008,1,3,2,47,3616,62,N,,49,144,W,7,86,606,10
2008,1,3,4,26,752,61,N,11,55,152,W,16,7,521,-5
2008,1,3,5,44,2975,58,N,11,97,155,W,12,15,621,5
2008,1,3,6,22,5507,58,N,1,83,155,W,15,82,829,7
2008,1,3,6,58,1626,58,N,11,0,155,W,19,99,122,2
2008,1,3,10,41,5539,61,N,54,0,144,W,5,27,1155,15
2008,1,3,11,53,883,58,N,16,98,154,W,58,36,191,7
2008,1,3,14,18,3866,58,N,16,28,154,W,59,30,265,9
2008,1,3,15,1,978,58,N,11,0,155,W,16,57,182,8
2008,1,3,15,2,3157,58,N,11,18,155,W,16,34,0,-4
2008,1,3,15,2,4331,58,N,10,90,155,W,16,47,194,14
2008,1,3,15,6,415,58,N,11,24,155,W,20,92,118,6
2008,1,3,15,6,3300,58,N,11,8,155,W,16,99,133,1
2008,1,3,16,8,5952,61,N,59,4,143,W,58,93,358,10
2008,1,3,16,12,5720,58,N,22,57,154,W,55,30,150,5
2008,1,4,0,16,3022,57,N,48,94,155,W,5,60,1431,20
2008,1,4,0,20,96,58,N,10,51,155,W,21,70,181,7
2008,1,4,0,50,1220,51,N,57,90,178,E,28,47,409,10
2008,1,4,7,8,1723,52,N,7,74,173,W,49,39,2913,17
2008,1,4,8,11,2253,58,N,10,39,155,W,21,94,199,10
2008,1,4,8,58,2825,58,N,51,70,153,W,36,42,313,10
2008,1,4,9,53,3409,54,N,44,65,163,W,47,3,2482,19
2008,1,4,12,12,1492,62,N,1,18,144,W,7,48,508,9
2008,1,4,12,49,2003,58,N,9,74,155,W,18,93,191,9
2008,1,4,16,12,4833,61,N,15,60,152,W,13,1,3054,9
2008,1,4,17,27,4181,58,N,10,6,155,W,21,48,171,9
2008,1,4,18,28,599,58,N,16,99,154,W,59,30,217,8
2008,1,4,22,28,3175,51,N,56,22,178,E,21,24,261,16
2008,1,4,22,45,5521,51,N,55,80,178,E,21,49,441,8
2008,1,5,0,27,2890,52,N,17,63,173,W,54,19,3107,13
2008,1,5,3,32,1296,62,N,1,5,144,W,8,14,313,11
2008,1,5,4,5,14,58,N,10,53,155,W,22,13,0,9
2008,1,5,5,32,5522,60,N,34,98,152,W,35,7,1427,7
2008,1,5,11,58,1896,51,N,40,3,178,W,41,56,812,10
2008,1,5,13,37,2449,58,N,3,91,155,W,22,72,510,8
2008,1,5,20,29,2625,51,N,42,38,179,W,13,85,602,18
2008,1,5,21,8,1963,58,N,9,86,155,W,23,26,407,11
2008,1,5,22,25,1331,61,N,3,77,152,W,18,25,1537,12
2008,1,6,5,52,5350,58,N,13,74,155,W,8,86,176,9
2008,1,6,7,43,11,58,N,51,61,153,W,50,37,337,12
2008,1,6,12,28,3549,58,N,20,96,154,W,46,61,294,9
2008,1,6,13,24,2640,52,N,,8,178,E,23,66,285,15
2008,1,6,13,26,871,51,N,59,30,178,E,26,11,232,16
2008,1,6,14,9,2100,51,N,43,25,178,W,35,59,1604,18
2008,1,6,14,46,1296,51,N,58,77,178,E,25,17,346,12
2008,1,6,15,46,1680,61,N,19,48,152,W,17,56,8,2
2008,1,6,17,32,1042,58,N,14,50,155,W,9,30,207,10
2008,1,6,17,36,2187,58,N,14,8,155,W,8,69,0,4
2008,1,6,18,3,2224,61,N,3,1,152,W,23,57,1431,10
2008,1,6,21,8,3659,58,N,10,99,155,W,16,20,206,10
2008,1,6,22,36,3856,58,N,10,79,155,W,18,99,48,5
2008,1,7,5,59,761,58,N,11,96,155,W,14,73,0,4
2008,1,7,6,54,2714,52,N,,12,178,E,33,80,1024,11
2008,1,7,7,59,5846,61,N,28,42,151,W,52,32,568,8
2008,1,7,9,24,1675,62,N,,87,144,W,9,0,0,7
2008,1,7,11,19,1227,58,N,14,50,155,W,8,38,225,9
2008,1,7,11,19,1570,58,N,15,15,155,W,8,35,284,8
2008,1,7,11,19,3283,58,N,14,60,155,W,8,72,0,5
2008,1,7,11,22,3615,58,N,14,57,155,W,8,45,0,4
2008,1,7,11,36,1281,58,N,14,59,155,W,9,8,181,8
2008,1,7,17,54,1093,61,N,30,55,151,W,55,96,1034,12
2008,1,7,18,37,291,58,N,16,95,154,W,50,34,360,10
2008,1,7,20,57,1859,53,N,29,36,167,W,28,76,1945,18
2008,1,8,6,20,4759,59,N,21,55,153,W,25,41,0,-1
2008,1,8,11,53,1318,53,N,32,81,167,W,29,27,1908,18
2008,1,8,14,18,5609,60,N,31,69,153,W,,44,956,12
2008,1,8,15,1,193,58,N,14,69,154,W,54,73,412,8
2008,1,8,15,9,1485,61,N,29,4,151,W,59,7,527,7
2008,1,8,15,35,4344,53,N,28,46,167,W,6,11,312,22
2008,1,8,15,52,1633,58,N,14,40,155,W,9,44,226,7
2008,1,8,19,40,2766,57,N,43,40,156,W,1,61,1255,12
2008,1,8,21,17,3176,58,N,14,22,155,W,7,42,0,3
2008,1,8,21,33,1172,54,N,36,50,163,W,22,10,887,26
2008,1,8,23,17,5007,51,N,53,23,177,W,55,92,452,11
2008,1,9,3,23,387,51,N,40,8,178,W,42,31,920,9
2008,1,9,9,23,1172,61,N,18,45,152,W,15,47,381,6
2008,1,9,10,8,3401,53,N,26,73,168,W,6,36,399,15
2008,1,9,11,13,3262,58,N,12,89,155,W,10,7,516,9
2008,1,9,13,45,182,53,N,27,17,168,W,6,91,62,7
2008,1,10,2,3,3257,52,N,4,70,176,W,22,66,2151,10
2008,1,10,4,27,5965,58,N,16,66,154,W,59,90,207,8
2008,1,10,7,29,1651,53,N,26,35,168,W,6,13,174,8
2008,1,10,11,46,5913,61,N,19,59,152,W,15,56,67,0
2008,1,10,15,15,4545,58,N,14,24,155,W,6,98,0,8
2008,1,10,22,31,1629,61,N,18,8,152,W,13,54,238,-2
2008,1,10,22,56,1365,58,N,11,16,155,W,16,20,279,1
2008,1,11,2,12,1979,61,N,13,36,152,W,10,42,3020,8
2008,1,11,2,12,2113,61,N,14,84,152,W,10,46,4258,11
2008,1,11,2,26,5486,61,N,30,90,151,W,59,33,543,12
2008,1,11,2,39,5779,61,N,30,42,151,W,58,80,538,23
2008,1,11,5,46,5959,61,N,7,76,152,W,17,22,401,2
2008,1,11,8,49,4961,53,N,14,79,168,W,20,8,145,15
2008,1,11,15,37,2974,54,N,44,37,163,W,50,14,2612,16
2008,1,11,16,12,5060,51,N,47,24,178,W,54,76,710,3
2008,1,11,18,56,2444,61,N,8,1,152,W,17,77,491,6
2008,1,11,19,20,3114,61,N,3,87,152,W,20,19,1299,5
2008,1,11,20,16,3160,60,N,25,90,152,W,49,91,864,5
2008,1,11,21,59,4927,58,N,14,7,155,W,7,49,0,2
2008,1,12,3,58,1157,61,N,59,91,144,W,7,98,145,7
2008,1,12,8,20,4857,61,N,14,61,152,W,2,38,632,-2
2008,1,12,9,2,5884,61,N,18,71,152,W,14,93,368,-2
2008,1,12,9,59,2067,58,N,14,25,155,W,8,92,0,4
2008,1,12,10,22,5610,61,N,29,81,151,W,59,82,630,25
2008,1,12,10,27,2426,61,N,18,92,152,W,15,34,158,-1
2008,1,12,10,27,2863,61,N,18,93,152,W,15,38,435,5
2008,1,12,10,28,3088,61,N,29,10,151,W,57,57,1006,17
2008,1,12,10,32,742,61,N,30,27,151,W,58,1,576,8
2008,1,12,11,10,2135,61,N,30,62,151,W,58,38,514,5
2008,1,12,11,21,3027,61,N,28,50,151,W,55,83,819,3
2008,1,12,13,20,1141,52,N,18,61,174,W,8,50,987,3
2008,1,12,14,8,1205,52,N,25,12,174,W,10,63,0,12
2008,1,12,16,28,3920,61,N,18,28,152,W,13,5,0,-4
2008,1,12,17,28,3811,58,N,13,49,155,W,10,52,39,3
2008,1,12,17,28,4679,58,N,13,60,155,W,9,78,0,5
2008,1,12,19,24,5873,58,N,13,63,155,W,10,67,0,1
2008,1,12,21,30,4251,58,N,23,93,154,W,33,44,412,10
2008,1,12,21,42,4027,58,N,24,4,154,W,34,13,409,10
2008,1,12,22,46,4323,58,N,26,72,154,W,31,56,575,11
2008,1,13,2,27,924,58,N,14,78,155,W,9,24,355,13
2008,1,13,2,28,1454,58,N,13,81,155,W,7,80,0,4
2008,1,13,5,23,5362,61,N,18,43,152,W,14,55,0,-2
2008,1,13,12,56,4164,57,N,39,23,156,W,26,11,1064,12
2008,1,13,14,3,5056,57,N,38,87,156,W,25,98,1002,10
2008,1,13,14,55,690,59,N,21,44,153,W,25,76,0,-4
2008,1,13,23,23,5663,58,N,10,51,155,W,19,30,104,4
2008,1,13,23,43,936,61,N,18,41,152,W,14,39,490,8
2008,1,14,0,32,3097,61,N,18,51,152,W,14,15,0,-2
