time,lat,long,depth,mag
2009-12-31T23:03:50.410Z,54.558001116,-164.693001386,2013,10
2009-12-31T23:03:20.940Z,54.497000994,-164.587834509,1925,9
2009-12-31T23:01:21.470Z,54.560501121,-164.716001432,1732,10
2009-12-31T22:49:39.020Z,58.245833825,-155.125666918,90,3
2009-12-31T22:39:50.550Z,60.561501123,-152.905668478,920,2
2009-12-31T21:42:32.460Z,61.190833715,-152.276500553,129,-5
2009-12-31T20:06:04.460Z,60.528001056,-152.83500167,542,1
2009-12-31T18:44:21.920Z,58.171000342,-155.344834023,174,14
2009-12-31T15:45:56.540Z,58.229833793,-155.151166969,0,2
2009-12-31T15:04:15.730Z,60.027500055,-153.073666814,0,6
2009-12-31T15:01:27.660Z,51.786168239,-178.96500193,906,25
2009-12-31T13:36:44.770Z,54.64166795,-163.549334432,759,16
2009-12-31T12:27:02.220Z,54.598001196,-163.522667712,346,24
2009-12-31T12:26:36.320Z,54.606334546,-163.527834389,841,15
2009-12-31T12:25:41.890Z,54.579834493,-163.543001086,672,14
2009-12-31T12:22:02.390Z,54.643167953,-163.525167717,821,28
2009-12-31T11:57:19.610Z,54.6166679,-163.569001138,707,13
2009-12-31T09:13:01.110Z,61.176000352,-152.283833901,479,-5
2009-12-31T04:35:19.530Z,60.015833365,-153.061333456,0,-4
2009-12-31T00:28:13.510Z,60.504501009,-152.751501503,547,1
2009-12-30T23:08:51.330Z,58.17833369,-155.326167319,231,8
2009-12-30T22:19:24.550Z,58.240167147,-155.137000274,160,-1
2009-12-30T21:09:55.020Z,58.182000364,-155.309000618,139,8
2009-12-30T20:37:43.880Z,58.342334018,-154.915168497,229,5
2009-12-30T19:16:59.600Z,60.037333408,-153.060833455,0,-3
2009-12-30T16:45:05.450Z,58.344500689,-154.918835171,268,3
2009-12-30T16:30:02.510Z,51.802168271,-179.047666762,1038,14
2009-12-30T13:52:03.570Z,58.230833795,-155.155666978,102,7
2009-12-30T13:30:23.420Z,60.526001052,-152.696168059,774,6
2009-12-30T10:08:17.120Z,58.33666734,-154.910501821,149,4
