time,lat,long,depth,mag,ms
2009-01-02T08:55:10.150Z,60.0295,-153.07516666666666,-3,0,1230886510150
2009-01-03T08:38:29.020Z,58.24316666666667,-155.1185,-2.78,0,1230971909020
2009-01-03T19:20:59.270Z,61.318333333333335,-152.24433333333334,0.33,0,1231010459270
2009-01-05T12:29:50.000Z,58.24516666666667,-155.11816666666667,-3,0,1231158590000
2009-01-05T19:19:59.310Z,58.2475,-155.1065,-3,0.1,1231183199310
2009-01-05T21:39:01.110Z,53.877,-166.84366666666668,4.75,0.1,1231191541110
2009-01-06T10:19:50.900Z,60.03366666666667,-153.07916666666668,-3,0.1,1231237190900
2009-01-06T15:50:30.330Z,61.306333333333335,-152.23466666666667,-3,0,1231257030330
2009-01-07T10:20:14.660Z,58.247,-155.12966666666668,1.96,0.1,1231323614660
2009-01-07T13:42:25.270Z,61.30266666666667,-152.24216666666666,-3,0.1,1231335745270
2009-01-07T18:08:47.260Z,61.30283333333333,-152.2515,2.12,0.1,1231351727260
2009-01-08T04:58:58.370Z,61.30833333333333,-152.24083333333334,2.23,0.1,1231390738370
2009-01-08T07:02:50.300Z,58.243,-155.11283333333333,-0.34,0,1231398170300
2009-01-09T09:58:00.790Z,60.012166666666666,-152.99616666666665,-2.99,0.1,1231495080790
2009-01-11T09:41:30.090Z,61.31966666666667,-152.24633333333333,3.46,0,1231666890090
2009-01-11T22:40:23.540Z,60.048833333333334,-153.04883333333333,3.48,0.1,1231713623540
2009-01-12T11:18:30.050Z,58.22816666666667,-155.14933333333335,-3,0.1,1231759110050
2009-01-13T00:05:35.210Z,60.04266666666667,-153.07366666666667,1.45,0,1231805135210
2009-01-13T09:50:55.100Z,60.03766666666667,-153.00766666666667,1.16,0.1,1231840255100
2009-01-15T00:02:38.100Z,61.3055,-152.23683333333332,-3,0,1231977758100
2009-01-16T13:50:42.330Z,60.03483333333333,-153.06083333333333,-3,0.1,1232113842330
2009-01-20T23:01:42.990Z,60.54816666666667,-153.38433333333333,16.64,0,1232492502990
2009-01-21T19:26:38.630Z,61.31933333333333,-152.248,3.48,0.1,1232565998630
2009-01-22T20:59:11.740Z,60.056333333333335,-153.03233333333333,2.55,0.1,1232657951740
2009-01-22T21:21:37.280Z,60.049,-153.06516666666667,1.86,0,1232659297280
2009-01-23T09:24:38.170Z,61.30133333333333,-152.23766666666666,1.96,0.1,1232702678170
2009-01-25T20:19:03.090Z,60.4955,-152.7455,-3,0.1,1232914743090
2009-01-26T01:59:03.060Z,60.04,-153.08133333333333,1,0.1,1232935143060
2009-01-26T13:15:59.270Z,58.166333333333334,-155.33883333333333,0.65,0.1,1232975759270
2009-01-26T23:29:27.220Z,60.494166666666665,-152.72633333333334,-2.9,0,1233012567220
2009-01-27T03:11:52.520Z,60.50033333333333,-152.76733333333334,2.13,0.1,1233025912520
2009-01-27T04:01:28.090Z,61.24633333333333,-152.2405,-2.99,0,1233028888090
2009-01-27T05:08:24.960Z,60.48916666666667,-152.76516666666666,-3,0,1233032904960
2009-01-27T09:24:28.120Z,61.3285,-152.26166666666666,0.14,0.1,1233048268120
2009-01-27T10:14:15.830Z,54.1845,-166.006,7.01,0,1233051255830
2009-01-27T10:47:16.480Z,60.513333333333335,-152.724,-2.99,0,1233053236480
2009-01-27T16:38:01.090Z,58.168,-155.3595,-3,0.1,1233074281090
2009-01-27T16:57:01.380Z,60.498,-152.74933333333334,0.32,0.1,1233075421380
2009-01-28T02:42:57.570Z,60.040333333333336,-153.0805,0.25,0.1,1233110577570
2009-01-28T02:44:36.940Z,60.50633333333333,-152.74633333333333,2.06,0.1,1233110676940
2009-01-28T16:47:22.580Z,60.498,-152.77733333333333,-3,0,1233161242580
2009-01-28T17:34:16.390Z,60.49166666666667,-152.76333333333332,-2.87,0.1,1233164056390
2009-01-28T20:25:52.800Z,60.0345,-153.08433333333332,-0.83,0.1,1233174352800
2009-01-29T00:45:13.370Z,60.494166666666665,-152.77866666666668,-0.59,0.1,1233189913370
2009-01-29T11:38:16.690Z,60.49066666666667,-152.73716666666667,0.58,0.1,1233229096690
2009-01-29T17:05:37.550Z,60.49516666666667,-152.76183333333333,-0.35,0,1233248737550
2009-01-29T20:35:41.410Z,60.49133333333333,-152.7295,-0.14,0,1233261341410
2009-01-29T21:16:26.120Z,58.163833333333336,-155.36266666666666,3.6,0.1,1233263786120
2009-01-30T06:24:31.160Z,60.486333333333334,-152.75083333333333,-3,0.1,1233296671160
2009-01-30T08:27:35.390Z,60.495333333333335,-152.75433333333334,-1.98,0,1233304055390
2009-01-30T09:51:01.130Z,60.49816666666667,-152.75366666666667,-3,0,1233309061130
2009-01-30T10:05:28.780Z,60.4855,-152.72833333333332,-2.92,0,1233309928780
2009-01-30T13:45:11.860Z,60.48583333333333,-152.736,-3,0.1,1233323111860
2009-01-30T15:00:25.120Z,60.492,-152.7665,-3,0.1,1233327625120
2009-01-30T15:36:19.350Z,60.4905,-152.76983333333334,-3,0.1,1233329779350
2009-01-30T18:06:31.090Z,60.456833333333336,-152.72483333333332,-2.64,0,1233338791090
2009-01-30T20:40:57.510Z,60.4815,-152.776,-3,0.1,1233348057510
2009-01-30T20:46:08.040Z,61.334666666666664,-152.25016666666667,13.1,0,1233348368040
2009-01-30T22:02:58.560Z,60.48916666666667,-152.73483333333334,-3,0,1233352978560
2009-01-30T22:24:19.620Z,60.4995,-152.73166666666665,-3,0.1,1233354259620
2009-01-31T05:20:19.920Z,58.25333333333333,-155.16233333333332,-1.69,0,1233379219920
2009-01-31T11:48:13.370Z,60.5055,-152.74866666666668,-3,0.1,1233402493370
2009-01-31T12:34:23.960Z,51.74666666666667,-179.0735,6.06,0,1233405263960
2009-02-01T02:04:59.110Z,60.498,-152.76883333333333,-1,0,1233453899110
2009-02-01T12:44:18.050Z,60.49216666666667,-152.76283333333333,0.53,0.1,1233492258050
2009-02-01T14:08:41.950Z,60.50033333333333,-152.75766666666667,-3,0,1233497321950
2009-02-01T23:23:03.850Z,60.50216666666667,-152.753,-3,0.1,1233530583850
2009-02-02T01:58:04.230Z,60.49483333333333,-152.75333333333333,0.3,0.1,1233539884230
2009-02-02T05:58:23.320Z,60.503,-152.76116666666667,-2.39,0.1,1233554303320
2009-02-02T11:16:18.750Z,60.50216666666667,-152.75816666666665,-2.02,0.1,1233573378750
2009-02-02T13:51:16.060Z,60.50216666666667,-152.762,-3,0.1,1233582676060
2009-02-02T15:35:30.220Z,60.498666666666665,-152.7775,-2.55,0.1,1233588930220
